Program Time [s];data 0
5.40606;0.01
5.45921;0.01
5.50841;0.01
5.56163;0.01
5.61491;0.01
5.66403;0.01
5.71724;0.01
5.76652;0.01
5.81966;0.01
5.8729;0.01
5.92205;0.01
5.9753;0.01
6.02446;0.01
6.07771;0.01
6.13098;0.01
6.18014;0.01
6.23343;0.01
6.28251;0.01
6.33574;0.01
6.38491;0.01
6.43815;0
6.49137;0.01
6.54049;0.01
6.59377;0.01
6.64292;0.01
6.69619;0.01
6.74949;0.01
6.7986;0.01
6.85179;0.01
6.90099;0.01
6.9542;0.01
7.00743;0.01
7.05657;0
7.10987;0.01
7.15904;0
7.21224;0.01
7.26548;0.01
7.31464;0.01
7.36801;0.01
7.41704;0.01
7.47026;0.01
7.51942;0.01
7.5727;0.01
7.62595;0.01
7.67508;0
7.72835;0.01
7.77747;0
7.83071;0.01
7.88393;0.01
7.9331;0.01
7.98632;0.01
8.0355;0.01
8.08873;0.01
8.14209;0
8.19116;0.01
8.24438;0.01
8.29366;0.01
8.34678;0.01
8.39594;0
8.44918;0.01
8.50237;0.01
8.55154;0.01
8.60482;0.01
8.65401;0.01
8.70724;0.01
8.76043;0.01
8.80961;0.01
8.86285;0.01
8.91201;0.01
8.96525;0.01
9.01849;0.01
9.0677;0.01
9.1209;0.01
9.17009;0.01
9.22332;0
9.27653;0.01
9.32572;0.01
9.37891;0.01
9.42808;0.01
9.4813;0.01
9.53047;0.01
9.58372;0.01
9.63695;0.01
9.68615;0.01
9.73936;0.01
9.78851;0.01
9.84175;0
9.89499;0.01
9.94414;0
9.99739;0.01
10.0466;0
10.0998;0.01
10.153;0.01
10.2022;0.01
10.2554;0.01
10.3046;0
10.3578;0.01
10.407;0.01
10.4602;0.01
10.5134;0.01
10.5627;0.01
10.616;0.01
10.665;0.01
10.7183;0.01
10.7715;0
10.8207;0.01
10.8739;0.01
10.9231;0.01
10.9763;0.01
11.0296;0
11.0787;0.01
11.132;0.01
11.1813;0.01
11.2344;0.01
11.2876;0.01
11.3368;0.01
11.39;0
11.4392;0.01
11.4924;0
