Program Time [s];data 0
25.9216;0
25.9749;0
26.024;0.01
26.0773;0
26.1266;0.01
26.1797;0.01
26.229;0
26.2821;0
26.3353;0
26.3845;0.01
26.4377;0
26.4869;0
26.5401;0
26.5934;0
26.6428;0.01
26.6957;0
26.7449;0
26.7982;0.01
26.8473;0
26.9006;0.01
26.9538;0
27.003;0
27.0562;0.01
27.1054;0
