Program Time [s];data 0
4.22472;0
4.27791;0.01
4.32707;0.01
4.38036;-0.02
4.42945;0.01
4.48272;0
4.53597;-0.02
4.58521;0.01
4.6384;0.01
4.68757;0.01
4.74078;-0.02
4.78991;0
4.84315;0.01
4.8964;0
4.94554;0.01
4.99881;0.01
5.04798;0.01
5.10117;0.01
5.15445;0.01
5.20359;0.01
5.25681;0
5.30599;0.01
5.35918;0
5.41245;0
5.46162;0.03
5.51486;-0.02
5.56412;0
5.6175;0.01
5.66644;0
5.71963;0
5.77292;0.01
5.82207;0.01
5.87529;0
5.92452;0
5.97765;0.01
6.03094;0
6.08012;0
6.13339;0
6.18256;0.01
6.23573;0.01
6.28897;-0.02
6.33811;0.01
6.39138;0.01
6.44468;-0.02
6.49376;0.01
6.54289;0
6.59624;0.01
6.64939;0
6.69854;0
6.75178;0.01
6.80096;0
6.85417;0
6.90742;0
6.95659;0
7.00982;0.01
7.05902;0
7.11226;0
7.16145;0.01
7.21462;0
7.26786;0
7.31701;0.01
7.37028;0.01
7.41941;0.01
7.47267;-0.02
7.52597;0.01
7.5751;0
7.62833;0
7.67744;0
7.73068;0.01
7.78392;0.01
7.83311;-0.02
7.88637;0.01
7.93548;0
7.98877;0
8.03793;0
8.09114;0
8.14436;0.01
8.19356;0
8.24675;0.03
8.29591;0
8.34915;0
8.40242;0.01
8.45155;0
8.50489;0.01
8.55802;-0.02
8.60726;0.01
8.66043;0.01
8.70965;0
8.76282;0.01
8.81201;0.01
8.86524;0.01
8.9144;0
8.96766;0
9.02086;0.01
9.07021;0
9.12326;0.01
9.17243;0
9.22565;0.01
9.27889;0.03
9.32808;-0.02
9.38137;0
9.43047;0.01
9.48379;0
9.53709;0.01
9.58609;0
9.63937;0.01
9.68849;0
9.74172;0
9.7909;0.01
9.84413;0
9.8974;0
9.94651;0.01
9.99981;0.01
10.049;0.01
10.1023;0.01
10.1554;0.01
10.2046;0
10.2578;0
10.307;0.01
10.3602;0
10.4093;0.01
10.4626;-0.02
10.5159;0
10.565;0
10.6182;0
10.6674;0
10.7206;0.01
10.7738;0.01
10.8231;0
10.8763;0
10.9254;0.01
10.9787;0
11.0319;0
11.0811;0
11.1344;0.01
11.1835;0.03
11.2367;0
11.2859;0.01
11.3391;0
11.3924;0
11.4415;0.01
11.4948;0.01
11.5439;0.03
11.5971;-0.02
11.6504;0
11.6995;0.01
11.7528;-0.02
11.8019;0
11.8551;0.01
11.9085;0
11.9576;0
12.0108;0
12.06;0.01
12.1132;0
12.1624;0
12.2156;0
12.2688;0
12.318;0.01
12.3712;-0.02
12.4204;0.01
12.4737;0.01
12.5269;-0.02
12.576;0
12.6293;0.01
12.6785;0.01
12.7317;0.01
12.7808;0
